path,kind,metric_key,metric_type,metric_value
work/isic18_1pct_protocol/protocol.json,protocol_or_split,source_data_root,str,/Data_8TB/lht/MK-UNet/data/ISIC18
work/isic18_1pct_protocol/protocol.json,protocol_or_split,prepared_data_root,str,/Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/isic18_1pct_protocol/data
work/isic18_1pct_protocol/protocol.json,protocol_or_split,seed,int,2026
work/isic18_1pct_protocol/protocol.json,protocol_or_split,selection_rule,str,"sort train/images by filename, sample round(0.01*N) without replacement using numpy.default_rng(seed), then sort selected indices"
work/isic18_1pct_protocol/protocol.json,protocol_or_split,train_images,int,2075
work/isic18_1pct_protocol/protocol.json,protocol_or_split,validation_images,int,259
work/isic18_1pct_protocol/protocol.json,protocol_or_split,test_images,int,260
work/isic18_1pct_protocol/protocol.json,protocol_or_split,labeled_count,int,21
work/isic18_1pct_protocol/protocol.json,protocol_or_split,labeled_fraction,float,0.010120481927710843
work/isic18_1pct_protocol/protocol.json,protocol_or_split,labeled_list,str,/Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/isic18_1pct_protocol/isic18_train1pct_labeled_images.txt
work/isic18_1pct_protocol/protocol.json,protocol_or_split,labeled_sha256,str,f14aeba3c6f62a69ea00e98ce623d8af1a2d710143a28090ef2ca6e0e73c489f
work/isic18_1pct_protocol/protocol.json,protocol_or_split,first_labeled,str,"[""ISIC_0000080.png"", ""ISIC_0000231.png"", ""ISIC_0000299.png"", ""ISIC_0000527.png"", ""ISIC_0001100.png"", ""ISIC_0010057.png"", ""ISIC_0010443.png"", ""ISIC_0010477.png"", ""ISIC_0010552.png"", ""ISIC_0012201.png""]"
work/isic18_1pct_protocol/protocol.json,protocol_or_split,labeled_paths_are_prepared_symlinks,bool,true
work/isic18_1pct_protocol/scsam/protocol.json,baseline,data_path,str,/Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/isic18_1pct_protocol/data
work/isic18_1pct_protocol/scsam/protocol.json,baseline,output_dir,str,/Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/isic18_1pct_protocol/scsam
