group,experiment,split,metric,value,resolution_or_scope,source,notes
main_test_dice,synfoc_sam,test,dice,0.8733601769570983,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,sam3_epoch50_direct_text_only_1008,test,dice,0.8749861649724601,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,ours_x4_best_student_mask_256,test,dice,0.8704142092801437,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,ours_x4_best_student_mask_original_size,test,dice,0.8701767457620935,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,sam3_epoch50_direct_text_only_s256,test,dice,0.8680087189369691,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,sam3_ep27_direct_text_only,test,dice,0.8682181161139423,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,ours_x3_best_epoch27_b7_selector_selected_gt_dice,test,dice,0.861104218664103,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,ours_x4_best_epoch27_b7_selector_selected_gt_dice,test,dice,0.8603392616808523,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,scsam_sam,test,dice,0.8522,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,ours_s3_best,test,dice,0.8548721257324698,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,ours_s2_best,test,dice,0.8483414130540559,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,synfoc_unet,test,dice,0.8413850904851117,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
main_test_dice,scsam_unet,test,dice,0.830954,see notes/source,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,
