log,line,timestamp,tag,step_message
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,1,2026-08-28 17:02:55,isic18-r1-r2a,"pipeline begin, DEVICE=0"
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,2,2026-08-28 17:02:55,isic18-r1-r2a,"route generation start, protocol=work/isic18_pseudovideo_full/protocol"
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,3,2026-08-28 17:02:55,isic18-r1-r2a,routes sam3enc_anchor_conditioned_target_pooling train
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,4,2026-08-28 18:17:07,isic18-r1-r2a,routes sam3enc_anchor_conditioned_target_pooling validation
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,5,2026-08-28 18:27:05,isic18-r1-r2a,routes sam3enc_anchor_conditioned_target_pooling test
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,6,2026-08-28 18:37:10,isic18-r1-r2a,routes sam3enc_anchor_conditioned_patch_correspondence train
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,7,2026-08-28 19:52:41,isic18-r1-r2a,routes sam3enc_anchor_conditioned_patch_correspondence validation
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,8,2026-08-28 20:02:37,isic18-r1-r2a,routes sam3enc_anchor_conditioned_patch_correspondence test
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,9,2026-08-28 20:12:41,isic18-r1-r2a,routes complete
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,10,2026-08-28 20:12:41,isic18-r1-r2a,base SAM3 propagation start on GPU=0
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,11,2026-08-28 20:12:41,isic18-r1-r2a,base propagation split=validation mode=sam3enc_anchor_conditioned_target_pooling
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,12,2026-08-28 21:51:56,isic18-r1-r2a,base propagation split=validation mode=sam3enc_anchor_conditioned_patch_correspondence
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,13,2026-08-28 23:27:47,isic18-r1-r2a,base propagation split=train mode=sam3enc_anchor_conditioned_target_pooling
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,14,2026-08-29 11:20:20,isic18-r1-r2a,base propagation split=train mode=sam3enc_anchor_conditioned_patch_correspondence
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,15,2026-08-29 22:27:15,isic18-r1-r2a,base propagation split=test mode=sam3enc_anchor_conditioned_target_pooling
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,16,2026-08-30 00:00:44,isic18-r1-r2a,base propagation split=test mode=sam3enc_anchor_conditioned_patch_correspondence
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,17,2026-08-30 01:29:48,isic18-r1-r2a,base propagation complete
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,18,2026-08-30 01:29:48,isic18-r1-r2a,Round1 pseudo pool + S2/S3/X3 start
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,19,2026-08-30 01:30:18,isic18-r1-r2a,train S2
work/isic18_round1_round2a_from_pseudovideo_full/nohup.log,20,2026-08-30 14:58:50,isic18-r1-r2a,export S2 student_best.pth
work/isic18_round1_round2a_from_pseudovideo_full/nohup_epoch27_longchain_test_gpu1.log,1,2026-09-01 02:12:18,isic18-e27-longchain-test-gpu1,"start, CUDA_VISIBLE_DEVICES=1 checkpoint=work/isic18_round1_round2a_from_pseudovideo_full/round2a_fixed_knn_lora_teacher/lora_epoch_27_merged_video.pt"
work/isic18_round1_round2a_from_pseudovideo_full/nohup_epoch27_longchain_test_gpu1.log,2,2026-09-01 02:12:18,isic18-e27-longchain-test-gpu1,generate test routes b0-b7 mode=sam3enc_anchor_conditioned_target_pooling
work/isic18_round1_round2a_from_pseudovideo_full/nohup_epoch27_longchain_test_gpu1.log,3,2026-09-01 02:26:14,isic18-e27-longchain-test-gpu1,evaluate epoch27 SAM3 long-chain test mode=sam3enc_anchor_conditioned_target_pooling
work/isic18_round1_round2a_from_pseudovideo_full/nohup_epoch27_longchain_test_gpu1.log,4,2026-09-01 05:00:54,isic18-e27-longchain-test-gpu1,generate test routes b0-b7 mode=sam3enc_anchor_conditioned_patch_correspondence
work/isic18_round1_round2a_from_pseudovideo_full/nohup_epoch27_longchain_test_gpu1.log,5,2026-09-01 05:14:32,isic18-e27-longchain-test-gpu1,evaluate epoch27 SAM3 long-chain test mode=sam3enc_anchor_conditioned_patch_correspondence
