artifact,path,role
master metrics,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/metrics.json,machine-readable consolidated record
human record,work/isic18_round1_round2a_from_pseudovideo_full/isic_records/README.md,previous consolidated notes
Round1 S2 summary,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S2/summary.json,student result
Round1 S3 summary,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/S3/summary.json,student result
Round1 X3 summary,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/students/X3/summary.json,student result
Round2A X4 summary,work/isic18_round1_round2a_from_pseudovideo_full/round2a_fixed_knn_lora_teacher/students/X4/summary.json,student result
SAM3 epoch27 direct test,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch27_category_merged.json,text-only direct test
SAM3 epoch50 direct test 1008,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged.json,text-only direct test
SAM3 epoch50 direct test 256,work/isic18_round1_round2a_from_pseudovideo_full/round1_sam3knn_s256_base/medsam3_lora_b0_b6_e50/direct_test_epoch50_category_merged_s256.json,text-only direct test
SynFoC summary,work/isic18_1pct_protocol/synfoc/summary.json,baseline result
SCSAM rerun log,work/isic18_1pct_protocol/logs/scsam_test_best_rerun_20260903_160852.log,baseline result
Bridge benefit analysis,work/isic18_round1_round2a_from_pseudovideo_full/analysis/target_pooling_bridge_benefit_b0_b6,per-target bridge-benefit distributions
