scope,bridge,test_dice
combined,b0,0.8505455313557161
combined,b1,0.8512502631229326
combined,b2,0.8583584919302379
combined,b3,0.8517938714729478
combined,b4,0.8534155080311894
combined,b5,0.8574235355774249
combined,b6,0.8570553983216923
combined,b7,0.003139324805169677
target_pooling,b0,0.8528897716916908
target_pooling,b1,0.8452341584710281
target_pooling,b2,0.8560945212674225
target_pooling,b3,0.857644859289984
target_pooling,b4,0.8561421098952162
target_pooling,b5,0.8588486880828432
target_pooling,b6,0.858306749098459
target_pooling,b7,0.003307315782510914
patch_correspondence,b0,0.8482012910197415
patch_correspondence,b1,0.8572663677748373
patch_correspondence,b2,0.8606224625930534
patch_correspondence,b3,0.845942883655912
patch_correspondence,b4,0.8506889061671625
patch_correspondence,b5,0.8559983830720064
patch_correspondence,b6,0.8558040475449255
patch_correspondence,b7,0.0029713338278284395
