path,kind,metric_key,metric_type,metric_value
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.candidate_pool,str,P2_b3_b6_11_families
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.checkpoint_tag,str,lora_p491_e20
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.fallback_enabled,bool,false
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.fallback_probability,null,null
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.fit_or_calibration_performed,bool,false
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.model_path,str,work/kvasir_1pct_anchors/pairwise_ranker_vitb256/frozen_internal_consensus/frozen_internal_plus_consensus_lora_p491_e20.json
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.role,str,frozen_external_clinicdb_test
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.split,str,test
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,protocol.student_loaded,bool,false
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.bootstrap_95_ci,str,"[-0.005219963689099385, 0.0968112452295594]"
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.catastrophic_regressions_delta_lt_minus_0.05,int,2
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.fixed_b6_dice,float,0.8158195237675804
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.losses,int,22
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.max_gain,float,0.9495092404279777
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.max_gain_over_net_gain,float,0.3776922657777908
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.max_gain_share_of_positive_gains,float,0.2886887372782958
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.max_regression,float,-0.49615957812679123
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.mean_delta_vs_fixed,float,0.04121271909252045
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.median_delta_vs_fixed,float,0.000978240076885739
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.n_targets,int,61
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.oracle_dice,float,0.9128307407262892
work/clinicdb_external_kvasir8/pairwise_ranker_vitb256/frozen_pairwise_lora_p491_e20_test.json,lora_or_lora_eval,summary.oracle_gap,float,0.05579849786618851
