source,line,command_or_template,notes
work/kvasir_1pct_anchors/logs/kvasir_1pct_synfoc_baseline.log,1,python train.py --dataset ClinicDB --dataset_label Kvasir-SEG 1pct anchors --data_path /Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/kvasir_1pct_anchors/baseline_data --labeled_list /Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/kvasir_1pct_anchors/protocol/frozen_labeled_images.txt --output_dir /Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/kvasir_1pct_anchors/synfoc_kvasir_1pct --save_name fixed8_seed2026 --model MedSAM --ckpt /Data_8TB/lht/models/medsam_vit_b.pth --max_iterations 40000 --num_eval_iter 500 --label_bs 4 --unlabel_bs 4 --test_bs 8 --img_size 256 --base_lr 0.03 --seed 2026 --AdamW --warmup --save_model --overwrite --gpu 1,auto-extracted; verify shell variables for exact rerun
work/kvasir_1pct_anchors/phase1/logs/orchestrator.log,74,[10:27:34] launched detached: /home/violet/anaconda3/envs/mkunet_mamba/bin/python scripts/run_s27_student.py --data-path work/kvasir_1pct_anchors/baseline_data --labeled-list work/kvasir_1pct_anchors/protocol/frozen_labeled_images.txt --pseudo-manifest work/kvasir_1pct_anchors/phase1/pseudo_manifest_x3.jsonl --output-dir work/kvasir_1pct_anchors/phase1/students/X3 --experiment X3 --seed 2026 --batch-size 12 --gt-bs 3 --original-bs 3 --new-bs 6 --max-iterations 40000 --val-interval 200 --num-workers 4 -> work/kvasir_1pct_anchors/phase1/logs/X3_detached.log,auto-extracted; verify shell variables for exact rerun
work/kvasir_1pct_anchors/synfoc_kvasir_1pct/train.py,134,See https://docs.python.org/3/library/itertools.html#itertools.cycle for more details.,auto-extracted; verify shell variables for exact rerun
work/kvasir_1pct_anchors/synfoc_kvasir_1pct/train.py,1002,"cmd = "" "".join([""python""] + sys.argv)",auto-extracted; verify shell variables for exact rerun
scripts/run_round2_eval_variant.sh,1,#!/usr/bin/env bash,auto-extracted; verify shell variables for exact rerun
scripts/run_round2_eval_variant.sh,7,PY=/home/violet/anaconda3/envs/sam3/bin/python,auto-extracted; verify shell variables for exact rerun
scripts/run_t21_dynamic_pseudovideo.py,1184,"""python"": platform.python_version(),",auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.py,16,python train_sam3_lora_native.py --config configs/full_lora_config.yaml,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.py,1309,"print(f""   python validate_sam3_lora.py \\"")",auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.py,1374,python train_sam3_lora_native.py --config configs/full_lora_config.yaml,auto-extracted; verify shell variables for exact rerun
scripts/train_sam3_lora_kvasir_e50.py,1377,python train_sam3_lora_native.py --config configs/full_lora_config.yaml --device 1,auto-extracted; verify shell variables for exact rerun
