group,experiment,split,metric,value,resolution_or_scope,source,notes
dataset,kvasir_1pct_anchors,test,count,100,,work/kvasir_1pct_anchors/baseline_data/summary.json,
dataset,kvasir_1pct_anchors,train,count,800,,work/kvasir_1pct_anchors/baseline_data/summary.json,
dataset,kvasir_1pct_anchors,validation,count,100,,work/kvasir_1pct_anchors/baseline_data/summary.json,
baseline,SynFoC-Kvasir-SAM,test,dice,0.7615026146752607,,work/kvasir_1pct_anchors/synfoc_kvasir_1pct/summary.json,
baseline,SynFoC-Kvasir-UNet,test,dice,0.7681128137346124,,work/kvasir_1pct_anchors/synfoc_kvasir_1pct/summary.json,
baseline,SynFoC-Kvasir-SAM,validation,best_sam_dice,0.7310313864714988,,work/kvasir_1pct_anchors/synfoc_kvasir_1pct/summary.json,iteration=28000
router,c3_B_direct,test,per_target_mean,0.8324477213805601,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_B_direct,test,oracle,0.9131138947952314,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_B_direct,test,sel_medoid,0.871230157201553,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_C_top1,test,per_target_mean,0.8625247764446123,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_C_top1,test,oracle,0.929696675143522,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_C_top1,test,sel_medoid,0.8952178780084143,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_D_all,test,per_target_mean,0.86964755170889,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_D_all,test,oracle,0.9312318463347796,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_D_all,test,sel_medoid,0.8945387184583722,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_A_within,test,per_target_mean,0.8946589036060874,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_A_within,test,oracle,0.9312318463347796,,work/kvasir_1pct_anchors/c3_test_report.json,
router,c3_A_within,test,sel_medoid,0.8945387184583722,,work/kvasir_1pct_anchors/c3_test_report.json,
main_or_legacy_kvasir,ft_1pct_repro_20260806,test,max_bridge_5.dice_mean,0.8980551803370835,,work/kvasir_1pct_anchors/ft_1pct_repro_20260806_results.json,
main_or_legacy_kvasir,ft_1pct_repro_20260806,test,max_bridge_6.dice_mean,0.9026433737406819,,work/kvasir_1pct_anchors/ft_1pct_repro_20260806_results.json,
main_or_legacy_kvasir,ft_1pct_repro_20260806,test_pool0,dice_mean,0.8868502295499616,,work/kvasir_1pct_anchors/ft_1pct_repro_20260806_results.json,n=100; quality_mean=0.9227945689254982
main_or_legacy_kvasir,ft_1pct_plus_hq_pseudo_lr025_eval1,test,max_bridge_5.dice_mean,0.8644111041851589,,work/kvasir_1pct_anchors/ft_1pct_plus_hq_pseudo_finite_guard_lr025_eval1_20260806_results.json,
