path,root,family_or_bridge,dice,kind
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008_lesion_knn/sam3enc_lesion__gt_lesion/eval_base_no_ft_b7_forward/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008_lesion_knn/sam3enc_lesion__gt_lesion/eval_base_no_ft_b7_forward,bridge_5,0.9190166131987476,route_or_propagation
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20,bridge_4,0.9153887516368059,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20,bridge_1,0.9153740529651229,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20,bridge_6,0.9149549706440306,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20,bridge_5,0.9149309542525005,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20,bridge_5,0.9136222021719794,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20,bridge_2,0.9135414621433227,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20,bridge_6,0.9131062244799155,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20,bridge_3,0.9130901368521529,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20,bridge_1,0.9129229900203463,lora_or_lora_eval
work/kvasir_1pct_anchors/lora_experiment/test_eval/lora_p491_e20/anchor_conditioned_patch_correspondence/eval_base_no_ft_b7_forward/route_family_summary.json,work/kvasir_1pct_anchors/lora_experiment/test_eval/lora_p491_e20/anchor_conditioned_patch_correspondence/eval_base_no_ft_b7_forward,bridge_6,0.9111707890133519,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb050/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb050/eval_lora_p491_e20,bridge_6,0.91098364886127,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling/eval_lora_p491_e20,bridge_1,0.9108324316368375,lora_or_lora_eval
