setting,target_id,b0,best_b1_b6,best_bridge,delta_best_vs_b0,b6,delta_b6_vs_b0,b1,b2,b3,b4,b5
base,ISIC_0000000,0.9629205729385825,0.9667063618523675,6,0.0037857889137850043,0.9667063618523675,0.0037857889137850043,0.963409094732592,0.9605331983464102,0.9629841601158112,0.9661861690523736,0.9665156852877034
base,ISIC_0000015,0.9586553067829073,0.9698171551492336,6,0.011161848366326277,0.9698171551492336,0.011161848366326277,0.9622116149562451,0.9684427318628753,0.9672839299467568,0.9696828046744574,0.9674091441969519
base,ISIC_0000018,0.9417761742411704,0.957314274473805,4,0.015538100232634577,0.9546475663356666,0.01287139209449617,0.9479825949367089,0.9534087917873124,0.9554165165263537,0.957314274473805,0.9571997023713241
base,ISIC_0000025,0.8596467754883597,0.8791791481596254,6,0.01953237267126573,0.8791791481596254,0.01953237267126573,0.8655779742222822,0.8606719699258215,0.8702891901994767,0.8647809356646189,0.8726664618954985
base,ISIC_0000040,0.8454345615013616,0.862600601182973,1,0.017166039681611345,0.8232737000501589,-0.022160861451202774,0.862600601182973,0.8443729269974714,0.836694214876033,0.8360785870212344,0.8242173143105349
base,ISIC_0000047,0.883448275862069,0.9200546976620084,1,0.03660642179993945,0.8968007904330346,0.013352514570965646,0.9200546976620084,0.8996125875076463,0.9059332342208406,0.893936806148591,0.9008825526137135
base,ISIC_0000054,0.9716314600294086,0.9709787081767758,1,-0.0006527518526328047,0.9650571562511269,-0.00657430377828172,0.9709787081767758,0.9652834766475185,0.9660572536906002,0.9646274594129663,0.9658153524728936
base,ISIC_0000061,0.9649468294604174,0.9702392530636063,3,0.005292423603188823,0.9672825156001468,0.0023356861397293427,0.9660167951677061,0.9692716329166362,0.9702392530636063,0.9688771904170018,0.9686715264402564
base,ISIC_0000065,0.9847808203079093,0.9879181880250542,6,0.003137367717144901,0.9879181880250542,0.003137367717144901,0.9832799506332461,0.9811816192560175,0.9798469536772008,0.9778334449914072,0.9874402971873342
base,ISIC_0000069,0.8677955405973917,0.9725462472016024,6,0.10475070660421071,0.9725462472016024,0.10475070660421071,0.8738804415746719,0.9070184696569921,0.9684711481261155,0.970928858425904,0.9713446858485026
