target,selected_family,selected_bridge,selected_dice,fixed_b6_dice,oracle_dice,q_return,q_multi,q_model_mean
kvasir-seg::cju0ue769mxii08019zqgdbxn,dino_global_pooling,3,0.946341,0.949498,0.951840,0.969496,0.968466,0.962971
kvasir-seg::cju13cgqmnhwn0988yrainhcp,anchor_conditioned_target_pooling__knn_cls,6,0.982628,0.982628,0.983759,0.953590,0.995403,0.988991
kvasir-seg::cju16ach3m1da0993r1dq3sn2,anchor_conditioned_patch_correspondence__knn_cls,2,0.983395,0.974156,0.983395,0.000000,0.674967,0.988300
kvasir-seg::cju171py4qiha0835u8sl59ds,t18_corrected,1,0.903484,0.426876,0.903484,0.116106,0.378343,0.456625
kvasir-seg::cju17g6ykn1cs0993dww6qdi8,anchor_conditioned_target_pooling,4,0.759746,0.757461,0.762515,0.938818,0.995169,0.990988
kvasir-seg::cju183od81ff608017ekzif89,anchor_conditioned_target_pooling__knn_pooled,6,0.933490,0.926355,0.955311,0.947647,0.857266,0.970237
kvasir-seg::cju1c0qb4tzi308355wtsnp0y,anchor_conditioned_patch_correspondence__knn_pooled,2,0.755749,0.848667,0.915558,0.962701,0.460593,0.908406
kvasir-seg::cju1cyjb5qtie0993njqne9m3,t18_corrected,2,0.714509,0.942796,0.973317,0.938644,0.724056,0.894115
kvasir-seg::cju1d50a94qf50855wsowacrc,dino_patch_average,6,0.978261,0.981304,0.983491,0.959927,0.943467,0.958710
kvasir-seg::cju1fb9236a110801yvg0fwju,t18_corrected,1,0.971431,0.686630,0.972761,0.956610,0.357933,0.671413
kvasir-seg::cju1ftaji6isw0855108yqcse,t18_corrected,0,0.945680,0.960697,0.961651,0.945171,0.937711,0.941962
kvasir-seg::cju1gv7106qd008784gk603mg,anchor_conditioned_patch_correspondence,3,0.969387,0.946024,0.970340,0.971963,0.984258,0.981988
kvasir-seg::cju1hirfi7ekp0855q0vgm9qq,dino_global_pooling,2,0.908095,0.921790,0.944298,0.862745,0.960962,0.777070
kvasir-seg::cju2i6acqvo6l0799u20fift8,dino_global_pooling,3,0.980425,0.761092,0.980705,0.849612,0.945941,0.991962
kvasir-seg::cju2nguelpmlj0835rojdn097,dino_patch_average,2,0.976519,0.967495,0.977866,0.940113,0.978360,0.982209
kvasir-seg::cju2omjpeqj5a0988pjdlb8l1,dino_patch_average,4,0.983841,0.976848,0.983841,0.955598,0.987595,0.987849
kvasir-seg::cju2p0eveqtdc0835gpi3p93i,t18_corrected,4,0.955545,0.970293,0.970293,0.864322,0.964506,0.953756
