target,selected_family,selected_bridge,selected_dice,fixed_b6_dice,oracle_dice,q_return,q_multi,q_model_mean
kvasir-seg::cju0ue769mxii08019zqgdbxn,dino_patch_average,2,0.946286,0.946078,0.947659,0.978311,0.994231,0.972144
kvasir-seg::cju13cgqmnhwn0988yrainhcp,t18_corrected,2,0.985814,0.985532,0.987237,0.986661,0.997157,0.986992
kvasir-seg::cju16ach3m1da0993r1dq3sn2,t18_corrected,4,0.981435,0.984599,0.985289,0.975760,0.995917,0.988249
kvasir-seg::cju171py4qiha0835u8sl59ds,dino_patch_average,4,0.698846,0.770179,0.932697,0.972502,0.536994,0.437660
kvasir-seg::cju17g6ykn1cs0993dww6qdi8,dino_patch_average,3,0.756721,0.759485,0.762393,0.977120,0.995248,0.989631
kvasir-seg::cju183od81ff608017ekzif89,anchor_conditioned_patch_correspondence__knn_cls,6,0.957787,0.487317,0.965266,0.959510,0.797037,0.963609
kvasir-seg::cju1c0qb4tzi308355wtsnp0y,anchor_conditioned_patch_correspondence,2,0.787872,0.731247,0.915162,0.976923,0.938041,0.870792
kvasir-seg::cju1cyjb5qtie0993njqne9m3,dino_global_pooling,5,0.847686,0.923261,0.968489,0.977547,0.720016,0.846063
kvasir-seg::cju1d50a94qf50855wsowacrc,dino_global_pooling,3,0.979536,0.976492,0.983123,0.976122,0.991148,0.949362
kvasir-seg::cju1fb9236a110801yvg0fwju,t18_corrected,2,0.980661,0.970118,0.984015,0.987454,0.500052,0.671666
kvasir-seg::cju1ftaji6isw0855108yqcse,dino_patch_average,2,0.960520,0.961293,0.969590,0.976645,0.971277,0.919928
kvasir-seg::cju1gv7106qd008784gk603mg,anchor_conditioned_patch_correspondence__knn_cls,6,0.971535,0.963810,0.974306,0.978807,0.993948,0.983129
kvasir-seg::cju1hirfi7ekp0855q0vgm9qq,t18_corrected,0,0.893862,0.894673,0.899893,0.985581,0.991804,0.782472
kvasir-seg::cju2i6acqvo6l0799u20fift8,anchor_conditioned_patch_correspondence__knn_cls,6,0.985494,0.982058,0.986405,0.978294,0.992095,0.991508
kvasir-seg::cju2nguelpmlj0835rojdn097,dino_patch_average,1,0.975331,0.976062,0.976401,0.986599,0.997924,0.979898
kvasir-seg::cju2omjpeqj5a0988pjdlb8l1,t18_corrected,6,0.983492,0.985631,0.986468,0.986433,0.996505,0.988474
kvasir-seg::cju2p0eveqtdc0835gpi3p93i,anchor_conditioned_patch_correspondence__knn_cls,6,0.984450,0.981000,0.984990,0.977673,0.995642,0.956778
kvasir-seg::cju2p4ddkmzxj0993p94o62av,dino_global_pooling,6,0.979969,0.980611,0.981671,0.970594,0.993484,0.983038
kvasir-seg::cju2qh5le1ock0878oahaql7d,dino_patch_average,3,0.980622,0.984980,0.985938,0.977108,0.993627,0.926228
kvasir-seg::cju2qz06823a40878ojcz9ccx,anchor_conditioned_target_pooling__knn_cond,1,0.882330,0.883900,0.888491,0.986519,0.996597,0.908696
kvasir-seg::cju2r11x7sdgx0988o8ule0wl,anchor_conditioned_patch_correspondence__knn_cond,2,0.970148,0.975563,0.976749,0.977207,0.994502,0.984406
kvasir-seg::cju2r7h21sj9608354gzks3ae,dino_global_pooling,0,0.957945,0.959420,0.970717,0.986084,0.986733,0.952807
kvasir-seg::cju2rga4psq9n09881z519xx0,t18_corrected,1,0.972811,0.974214,0.979260,0.985293,0.992637,0.967764
